%#################################################################
Title:        Basenet Report
Design:       top
Date:         Nov 7 11:09:59 2018
%#################################################################


%
Base nets and synonyms for muctpi_lib.TOP(@muctpi_lib.top(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
                    	HPIO71DP_N<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 58E3<>                       
                    	HPIO72D_N<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 7B7<>                        
A2T_DP<23..0>       	A2T_DP<23..0> - @muctpi_lib.TOP                             	 1D6 2C8                      
                    	HPIO69DP_P<23..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 58E8<>                       
                    	HPIO70D_P<23> - @muctpi_lib.MSP_FPGA(i43_page1)             	 6B5<>                        
A2T_DP<46..24>      	A2T_DP<46..24> - @muctpi_lib.TOP                            	 1C6 2C8                      
                    	HPIO70DP_P<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 58E5<>                       
                    	HPIO71D_P<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 6B3<>                        
A2T_DP<69..47>      	A2T_DP<69..47> - @muctpi_lib.TOP                            	 1C6 2C8                      
                    	HPIO71DP_P<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 58E3<>                       
                    	HPIO72D_P<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 7B7<>                        
A2T_GT_N<27..0>     	A2T_GT_N<27..0> - @muctpi_lib.TOP                           	 1B6 2D8                      
                    	GTHRX_N<27> - @muctpi_lib.TRP_FPGA(i31_page5)               	 55C3<                        
                    	GTHTX_N<27> - @muctpi_lib.MSP_FPGA(i43_page1)               	 10A5>                        
A2T_GT_P<27..0>     	A2T_GT_P<27..0> - @muctpi_lib.TOP                           	 1B6 2D8                      
                    	GTHRX_P<27> - @muctpi_lib.TRP_FPGA(i31_page5)               	 55C3<                        
                    	GTHTX_P<27> - @muctpi_lib.MSP_FPGA(i43_page1)               	 10A5>                        
A2Z_AXI_CLK         	A2Z_AXI_CLK - @muctpi_lib.TOP                               	 1C6 2E4                      
                    	B64_RXCLK - @muctpi_lib.ZYNQ(i33_page5)                     	 74C6<                        
                    	AXI_TXCLK - @muctpi_lib.MSP_FPGA(i43_page1)                 	 7D3>                         
A2Z_AXI_D<21..0>    	A2Z_AXI_D<21..0> - @muctpi_lib.TOP                          	 1C6 2E4                      
                    	B64_RXD<21..0> - @muctpi_lib.ZYNQ(i33_page5)                	 74E7<                        
                    	AXI_TXD<21> - @muctpi_lib.MSP_FPGA(i43_page1)               	 7D3>                         
ATCA_HA<7..0>       	ATCA_HA<7..0> - @muctpi_lib.TOP                             	 3B7                          
                    	HA<7..0> - @muctpi_lib.ATCA(i6_page4)                       	 98D6> 98C6                   
                    	HA<7..0> - @muctpi_lib.IPMC(i5_page4)                       	 96E8<                        
C2A_DN<22..0>       	C2A_DN<22..0> - @muctpi_lib.TOP                             	 1A8 1D8                      
                    	A_HPIO68_N<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E2<>                      
                    	HPIO68D_N<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 6B8<>                        
C2A_DN<46..23>      	C2A_DN<46..23> - @muctpi_lib.TOP                            	 1A8 1D8                      
                    	A_HPIO67_N<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E4<>                      
                    	HPIO67D_N<23> - @muctpi_lib.MSP_FPGA(i43_page1)             	 5B3<>                        
C2A_DP<22..0>       	C2A_DP<22..0> - @muctpi_lib.TOP                             	 1A8 1D8                      
                    	A_HPIO68_P<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E3<>                      
                    	HPIO68D_P<22> - @muctpi_lib.MSP_FPGA(i43_page1)             	 6B8<>                        
C2A_DP<46..23>      	C2A_DP<46..23> - @muctpi_lib.TOP                            	 1A8 1D8                      
                    	A_HPIO67_P<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E4<>                      
                    	HPIO67D_P<23> - @muctpi_lib.MSP_FPGA(i43_page1)             	 5C3<>                        
C2T_DN<23..0>       	C2T_DN<23..0> - @muctpi_lib.TOP                             	 1D2 2C5                      
                    	HPIO51DP_N<23..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 57E3<>                       
                    	HPIO70D_N<23> - @muctpi_lib.MSP_FPGA(i44_page1)             	 31B5<>                       
C2T_DN<46..24>      	C2T_DN<46..24> - @muctpi_lib.TOP                            	 1C2 2C5                      
                    	HPIO49DP_N<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 57E7<>                       
                    	HPIO71D_N<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 31B3<>                       
C2T_DN<69..47>      	C2T_DN<69..47> - @muctpi_lib.TOP                            	 1C2 2C5                      
                    	HPIO50DP_N<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 57E5<>                       
                    	HPIO72D_N<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 32B7<>                       
C2T_DP<23..0>       	C2T_DP<23..0> - @muctpi_lib.TOP                             	 1D2 2C5                      
                    	HPIO51DP_P<23..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 57E3<>                       
                    	HPIO70D_P<23> - @muctpi_lib.MSP_FPGA(i44_page1)             	 31B5<>                       
C2T_DP<46..24>      	C2T_DP<46..24> - @muctpi_lib.TOP                            	 1C2 2C5                      
                    	HPIO49DP_P<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 57E7<>                       
                    	HPIO71D_P<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 31B3<>                       
C2T_DP<69..47>      	C2T_DP<69..47> - @muctpi_lib.TOP                            	 1C2 2C5                      
                    	HPIO50DP_P<22..0> - @muctpi_lib.TRP_FPGA(i31_page5)         	 57E5<>                       
                    	HPIO72D_P<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 32B7<>                       
C2T_GT_N<27..0>     	C2T_GT_N<27..0> - @muctpi_lib.TOP                           	 1B2 2D8                      
                    	GTYRX_N<27> - @muctpi_lib.TRP_FPGA(i31_page5)               	 56C3<                        
                    	GTHTX_N<27> - @muctpi_lib.MSP_FPGA(i44_page1)               	 35A5>                        
C2T_GT_P<27..0>     	C2T_GT_P<27..0> - @muctpi_lib.TOP                           	 1B2 2D8                      
                    	GTYRX_P<27> - @muctpi_lib.TRP_FPGA(i31_page5)               	 56C3<                        
                    	GTHTX_P<27> - @muctpi_lib.MSP_FPGA(i44_page1)               	 35A5>                        
C2Z_AXI_CLK         	C2Z_AXI_CLK - @muctpi_lib.TOP                               	 1C2 2E4                      
                    	B66_RXCLK - @muctpi_lib.ZYNQ(i33_page5)                     	 74C1<                        
                    	AXI_TXCLK - @muctpi_lib.MSP_FPGA(i44_page1)                 	 32D3>                        
C2Z_AXI_D<21..0>    	C2Z_AXI_D<21..0> - @muctpi_lib.TOP                          	 1C2 2E4                      
                    	B66_RXD<21..0> - @muctpi_lib.ZYNQ(i33_page5)                	 74A3<                        
                    	AXI_TXD<21> - @muctpi_lib.MSP_FPGA(i44_page1)               	 32D3>                        
CTP_MGTCLK_N        	CTP_MGTCLK_N - @muctpi_lib.TOP                              	 2D8 3D6                      
                    	CTP_MGTCLK_N - @muctpi_lib.TRP_FPGA(i31_page5)              	 55D8<                        
                    	CTP_MGTCLK_N - @muctpi_lib.CLOCKS(i4_page4)                 	 83A1>                        
CTP_MGTCLK_P        	CTP_MGTCLK_P - @muctpi_lib.TOP                              	 2D8 3D6                      
                    	CTP_MGTCLK_P - @muctpi_lib.TRP_FPGA(i31_page5)              	 55D8<                        
                    	CTP_MGTCLK_P - @muctpi_lib.CLOCKS(i4_page4)                 	 83A1>                        
C_HPIO65_N<22..0>   	C_HPIO65_N<22..0> - @muctpi_lib.TOP                         	 1A6 1D2                      
                    	A_HPIO68_N<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E2<>                      
                    	HPIO65D_N<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 30B8<>                       
C_HPIO65_P<22..0>   	C_HPIO65_P<22..0> - @muctpi_lib.TOP                         	 1A6 1D2                      
                    	A_HPIO68_P<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E3<>                      
                    	HPIO65D_P<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 30C8<>                       
C_HPIO66_N<23..0>   	C_HPIO66_N<23..0> - @muctpi_lib.TOP                         	 1A6 1D2                      
                    	A_HPIO67_N<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E4<>                      
                    	HPIO66D_N<23> - @muctpi_lib.MSP_FPGA(i44_page1)             	 30C5<>                       
C_HPIO66_P<23..0>   	C_HPIO66_P<23..0> - @muctpi_lib.TOP                         	 1A6 1D2                      
                    	A_HPIO67_P<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E4<>                      
                    	HPIO66D_P<23> - @muctpi_lib.MSP_FPGA(i44_page1)             	 30C5<>                       
C_HPIO67_N<23..0>   	C_HPIO67_N<23..0> - @muctpi_lib.TOP                         	 1A6 1D4                      
                    	A_HPIO66_N<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E6<>                      
                    	HPIO67D_N<23> - @muctpi_lib.MSP_FPGA(i44_page1)             	 30B3<>                       
C_HPIO67_P<23..0>   	C_HPIO67_P<23..0> - @muctpi_lib.TOP                         	 1A6 1D4                      
                    	A_HPIO66_P<23..0> - @muctpi_lib.SWAP(i48_page1)             	 105E6<>                      
                    	HPIO67D_P<23> - @muctpi_lib.MSP_FPGA(i44_page1)             	 30C3<>                       
C_HPIO68_N<22..0>   	C_HPIO68_N<22..0> - @muctpi_lib.TOP                         	 1A6 1D4                      
                    	A_HPIO65_N<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E8<>                      
                    	HPIO68D_N<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 31B8<>                       
C_HPIO68_P<22..0>   	C_HPIO68_P<22..0> - @muctpi_lib.TOP                         	 1A6 1D4                      
                    	A_HPIO65_P<22..0> - @muctpi_lib.SWAP(i48_page1)             	 105E8<>                      
                    	HPIO68D_P<22> - @muctpi_lib.MSP_FPGA(i44_page1)             	 31B8<>                       
DCDC_ALERT*         	DCDC_ALERT* - @muctpi_lib.TOP                               	 3A7                          
                    	DCDC_ALERT* - @muctpi_lib.ATCA(i6_page4)                    	 98B4>                        
                    	DCDC_ALERT* - @muctpi_lib.IPMC(i5_page4)                    	 96B8<                        
DDR3_CLK_N          	DDR3_CLK_N - @muctpi_lib.TOP                                	 2A8 3B6                      
                    	DDR_CLK_N - @muctpi_lib.TRP_FPGA(i31_page5)                 	 59A3<                        
                    	DDR3_CLK_N - @muctpi_lib.CLOCKS(i4_page4)                   	 84D2>                        
                    	CLK_OUT_N<4> - @muctpi_lib.CLKGEN_SI5345(i5_page2)          	 92D2>                        
DDR3_CLK_P          	DDR3_CLK_P - @muctpi_lib.TOP                                	 2A8 3C6                      
                    	DDR_CLK_P - @muctpi_lib.TRP_FPGA(i31_page5)                 	 59A3<                        
                    	DDR3_CLK_P - @muctpi_lib.CLOCKS(i4_page4)                   	 84D2>                        
                    	CLK_OUT_P<4> - @muctpi_lib.CLKGEN_SI5345(i5_page2)          	 92D2>                        
ENA_12V             	ENA_12V - @muctpi_lib.TOP                                   	 3A8 3E1                      
                    	ENA_12V - @muctpi_lib.ATCA(i6_page4)                        	 98B5<                        
                    	ENA_12V - @muctpi_lib.CPLD(i3_page4)                        	 82B4>                        
ENA_MGTAVCC         	ENA_MGTAVCC - @muctpi_lib.TOP                               	 1B4 1B8 2B8 3E1              
                    	ENA_MGTAVCC - @muctpi_lib.TRP_FPGA(i31_page5)               	 65E4<                        
                    	RUN_1V0 - @muctpi_lib.DCDC_2X18A_1V0_1V2(i109_page11)       	 70C7<                        
                    	ENA_MGTAVCC - @muctpi_lib.CPLD(i3_page4)                    	 82C4>                        
                    	ENA_MGTAVCC - @muctpi_lib.MSP_FPGA(i44_page1)               	 38D6<                        
                    	RUN - @muctpi_lib.DCDC_26A_1V0(i8_page11)                   	 52C7<                        
                    	ENA_MGTAVCC - @muctpi_lib.MSP_FPGA(i43_page1)               	 13D6<                        
                    	RUN - @muctpi_lib.DCDC_26A_1V0(i8_page11)                   	 27C7<                        
ENA_MGTAVTT         	ENA_MGTAVTT - @muctpi_lib.TOP                               	 1B4 1B8 2B8 3E1              
                    	ENA_MGTAVTT - @muctpi_lib.TRP_FPGA(i31_page5)               	 65E4<                        
                    	RUN_1V2 - @muctpi_lib.DCDC_2X18A_1V0_1V2(i109_page11)       	 70C7<                        
                    	ENA_MGTAVTT - @muctpi_lib.CPLD(i3_page4)                    	 82C4>                        
                    	ENA_MGTAVTT - @muctpi_lib.MSP_FPGA(i44_page1)               	 38C6<                        
                    	RUN - @muctpi_lib.DCDC_26A_1V2(i9_page11)                   	 53C7<                        
                    	ENA_MGTAVTT - @muctpi_lib.MSP_FPGA(i43_page1)               	 13C6<                        
                    	RUN - @muctpi_lib.DCDC_26A_1V2(i9_page11)                   	 28C7<                        
ENA_VCCAUX          	ENA_VCCAUX - @muctpi_lib.TOP                                	 3B3 3E1                      
                    	ENA_1V8 - @muctpi_lib.POWER(i7_page4)                       	 99C8<                        
                    	RUN - @muctpi_lib.DCDC_26A_1V8(i61_page1)                   	 101C7<                       
                    	ENA_P1V8 - @muctpi_lib.CPLD(i3_page4)                       	 82C4>                        
ENA_VCCINT          	ENA_VCCINT - @muctpi_lib.TOP                                	 1B4 1B8 2B8 3B3 3E1          
                    	ENA_VCCINT - @muctpi_lib.TRP_FPGA(i31_page5)                	 65D4<                        
                    	RUN - @muctpi_lib.DCDC_36A_0V95(i99_page11)                 	 69C7<                        
                    	ENA_0V85 - @muctpi_lib.POWER(i7_page4)                      	 99D8<                        
                    	RUN_0V85 - @muctpi_lib.DCDC_2X13A_1V0_1V35(i6_page1)        	 104C7<                       
                    	ENA_VCCINT - @muctpi_lib.CPLD(i3_page4)                     	 82C4>                        
                    	ENA_VCCINT - @muctpi_lib.MSP_FPGA(i44_page1)                	 38B6<                        
                    	RUN - @muctpi_lib.DCDC_36A_0V95(i15_page11)                 	 51C7<                        
                    	ENA_VCCINT - @muctpi_lib.MSP_FPGA(i43_page1)                	 13B6<                        
                    	RUN - @muctpi_lib.DCDC_36A_0V95(i15_page11)                 	 26C7<                        
ENA_VCCO            	ENA_VCCO - @muctpi_lib.TOP                                  	 3B3 3E1                      
                    	ENA_1V2 - @muctpi_lib.POWER(i7_page4)                       	 99D8<                        
                    	RUN_1V2 - @muctpi_lib.DCDC_2X13A_1V0_1V35(i6_page1)         	 104C7<                       
                    	ENA_3V3 - @muctpi_lib.POWER(i7_page4)                       	 99B8<                        
                    	RUN - @muctpi_lib.DCDC_26A_3V3(i69_page1)                   	 103C7<                       
                    	ENA_2V5 - @muctpi_lib.POWER(i7_page4)                       	 99C8<                        
                    	RUN - @muctpi_lib.DCDC_26A_2V5(i65_page1)                   	 102C7<                       
                    	ENA_VCCO - @muctpi_lib.CPLD(i3_page4)                       	 82C4>                        
GBE_MGTCLK_N<0>     	GBE_MGTCLK_N<0> - @muctpi_lib.TOP                           	 2B4                          
                    	MGTREFCLK0_N - @muctpi_lib.ZYNQ(i33_page5)                  	 77E3<                        
                    	CLK_OUT_N<0> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95B2>                        
GBE_MGTCLK_N<3..0>  	GBE_MGTCLK_N<3..0> - @muctpi_lib.TOP                        	 3C6                          
                    	CLK_OUT_N<3> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_MGTCLK_N<1>     	GBE_MGTCLK_N<1> - @muctpi_lib.TOP                           	 2B4                          
                    	MGTREFCLK1_N - @muctpi_lib.ZYNQ(i33_page5)                  	 77E3<                        
                    	CLK_OUT_N<1> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95B2>                        
GBE_MGTCLK_N<2>     	GBE_MGTCLK_N<2> - @muctpi_lib.TOP                           	 2A8                          
                    	ZYNQ_MGTCLK_N - @muctpi_lib.TRP_FPGA(i31_page5)             	 56D6<                        
                    	CLK_OUT_N<2> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_MGTCLK_N<3>     	GBE_MGTCLK_N<3> - @muctpi_lib.TOP                           	 3B7                          
                    	CLK_OUT_N<3> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_MGTCLK_P<0>     	GBE_MGTCLK_P<0> - @muctpi_lib.TOP                           	 2B4                          
                    	MGTREFCLK0_P - @muctpi_lib.ZYNQ(i33_page5)                  	 77E3<                        
                    	CLK_OUT_P<0> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95B2>                        
GBE_MGTCLK_P<3..0>  	GBE_MGTCLK_P<3..0> - @muctpi_lib.TOP                        	 3C6                          
                    	CLK_OUT_P<3> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_MGTCLK_P<1>     	GBE_MGTCLK_P<1> - @muctpi_lib.TOP                           	 2B4                          
                    	MGTREFCLK1_P - @muctpi_lib.ZYNQ(i33_page5)                  	 77E3<                        
                    	CLK_OUT_P<1> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95B2>                        
GBE_MGTCLK_P<2>     	GBE_MGTCLK_P<2> - @muctpi_lib.TOP                           	 2A8                          
                    	ZYNQ_MGTCLK_P - @muctpi_lib.TRP_FPGA(i31_page5)             	 56D6<                        
                    	CLK_OUT_P<2> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_MGTCLK_P<3>     	GBE_MGTCLK_P<3> - @muctpi_lib.TOP                           	 3B7                          
                    	CLK_OUT_P<3> - @muctpi_lib.CML_FANOUT_1TO4_AC(i32_page2)    	 95C2>                        
GBE_T2Z_N           	GBE_T2Z_N - @muctpi_lib.TOP                                 	 2B5                          
                    	GBETRP_RX_N - @muctpi_lib.ZYNQ(i33_page5)                   	 77D4<                        
                    	ZYNQ_MGT_TX_N - @muctpi_lib.TRP_FPGA(i31_page5)             	 56E3>                        
GBE_T2Z_P           	GBE_T2Z_P - @muctpi_lib.TOP                                 	 2B5                          
                    	GBETRP_RX_P - @muctpi_lib.ZYNQ(i33_page5)                   	 77D4<                        
                    	ZYNQ_MGT_TX_P - @muctpi_lib.TRP_FPGA(i31_page5)             	 56E3>                        
GBE_Z2T_N           	GBE_Z2T_N - @muctpi_lib.TOP                                 	 2B5                          
                    	GBETRP_TX_N - @muctpi_lib.ZYNQ(i33_page5)                   	 77D4>                        
                    	ZYNQ_MGT_RX_N - @muctpi_lib.TRP_FPGA(i31_page5)             	 56D6<                        
GBE_Z2T_P           	GBE_Z2T_P - @muctpi_lib.TOP                                 	 2B5                          
                    	GBETRP_TX_P - @muctpi_lib.ZYNQ(i33_page5)                   	 77D4>                        
                    	ZYNQ_MGT_RX_P - @muctpi_lib.TRP_FPGA(i31_page5)             	 56D6<                        
IPMB_SCL_A          	IPMB_SCL_A - @muctpi_lib.TOP                                	 3B7                          
                    	IPMB_SCL_A - @muctpi_lib.ATCA(i6_page4)                     	 98D6<>                       
                    	IPMB_SCL_A - @muctpi_lib.IPMC(i5_page4)                     	 96E5<>                       
IPMB_SCL_B          	IPMB_SCL_B - @muctpi_lib.TOP                                	 3A7                          
                    	IPMB_SCL_B - @muctpi_lib.ATCA(i6_page4)                     	 98D6<>                       
                    	IPMB_SCL_B - @muctpi_lib.IPMC(i5_page4)                     	 96E5<>                       
IPMB_SDA_A          	IPMB_SDA_A - @muctpi_lib.TOP                                	 3B7                          
                    	IPMB_SDA_A - @muctpi_lib.ATCA(i6_page4)                     	 98D6<>                       
                    	IPMB_SDA_A - @muctpi_lib.IPMC(i5_page4)                     	 96E5<>                       
IPMB_SDA_B          	IPMB_SDA_B - @muctpi_lib.TOP                                	 3A7                          
                    	IPMB_SDA_B - @muctpi_lib.ATCA(i6_page4)                     	 98C6<>                       
                    	IPMB_SDA_B - @muctpi_lib.IPMC(i5_page4)                     	 96E5<>                       
IPMC_INT*<0>        	IPMC_INT*<0> - @muctpi_lib.TOP                              	 1D6                          
                    	MUX_INT*<0> - @muctpi_lib.IPMC(i5_page4)                    	 97D4<                        
                    	IPMC_ALERT* - @muctpi_lib.MSP_FPGA(i43_page1)               	 4A5>                         
IPMC_INT*<2..0>     	IPMC_INT*<2..0> - @muctpi_lib.TOP                           	 3A5                          
                    	IPMC_ALERT* - @muctpi_lib.TRP_FPGA(i31_page5)               	 54A5>                        
                    	MUX_INT*<2> - @muctpi_lib.IPMC(i5_page4)                    	 97D4<                        
IPMC_INT*<1>        	IPMC_INT*<1> - @muctpi_lib.TOP                              	 1D2                          
                    	MUX_INT*<1> - @muctpi_lib.IPMC(i5_page4)                    	 97D4<                        
                    	IPMC_ALERT* - @muctpi_lib.MSP_FPGA(i44_page1)               	 29A5>                        
IPMC_INT*<2>        	IPMC_INT*<2> - @muctpi_lib.TOP                              	 2D5                          
                    	IPMC_ALERT* - @muctpi_lib.TRP_FPGA(i31_page5)               	 54A5>                        
                    	MUX_INT*<2> - @muctpi_lib.IPMC(i5_page4)                    	 97D4<                        
IPMC_MGT_SCL        	IPMC_MGT_SCL - @muctpi_lib.TOP                              	 3A8 3B5                      
                    	I2C_SCL - @muctpi_lib.ATCA(i6_page4)                        	 98B4< 98D4<                  
                    	MGT_SCL - @muctpi_lib.IPMC(i5_page4)                        	 96C5<> 96B5 97B2             
IPMC_MGT_SDA        	IPMC_MGT_SDA - @muctpi_lib.TOP                              	 3A8 3B5                      
                    	I2C_SDA - @muctpi_lib.ATCA(i6_page4)                        	 98B4<> 98D4<>                
                    	MGT_SDA - @muctpi_lib.IPMC(i5_page4)                        	 96C5<> 96C4 97B2             
IPMC_SCL<0>         	IPMC_SCL<0> - @muctpi_lib.TOP                               	 1D8                          
                    	MUX_SCL<0> - @muctpi_lib.IPMC(i5_page4)                     	 97E4>                        
                    	IPMC_SCL - @muctpi_lib.MSP_FPGA(i43_page1)                  	 4A4 4A7<                     
IPMC_SCL<2..0>      	IPMC_SCL<2..0> - @muctpi_lib.TOP                            	 3B5                          
                    	IPMC_SCL - @muctpi_lib.TRP_FPGA(i31_page5)                  	 54A8< 54B4                   
                    	MUX_SCL<2> - @muctpi_lib.IPMC(i5_page4)                     	 97D4>                        
IPMC_SCL<1>         	IPMC_SCL<1> - @muctpi_lib.TOP                               	 1D4                          
                    	MUX_SCL<1> - @muctpi_lib.IPMC(i5_page4)                     	 97D4>                        
                    	IPMC_SCL - @muctpi_lib.MSP_FPGA(i44_page1)                  	 29A4 29A7<                   
IPMC_SCL<2>         	IPMC_SCL<2> - @muctpi_lib.TOP                               	 2D8                          
                    	IPMC_SCL - @muctpi_lib.TRP_FPGA(i31_page5)                  	 54A8< 54B4                   
                    	MUX_SCL<2> - @muctpi_lib.IPMC(i5_page4)                     	 97D4>                        
IPMC_SDA<0>         	IPMC_SDA<0> - @muctpi_lib.TOP                               	 1D8                          
                    	MUX_SDA<0> - @muctpi_lib.IPMC(i5_page4)                     	 97E4<>                       
                    	IPMC_SDA - @muctpi_lib.MSP_FPGA(i43_page1)                  	 4A7<> 4B4                    
IPMC_SDA<2..0>      	IPMC_SDA<2..0> - @muctpi_lib.TOP                            	 3A5                          
                    	IPMC_SDA - @muctpi_lib.TRP_FPGA(i31_page5)                  	 54A8<> 54B4                  
                    	MUX_SDA<2> - @muctpi_lib.IPMC(i5_page4)                     	 97D4<>                       
IPMC_SDA<1>         	IPMC_SDA<1> - @muctpi_lib.TOP                               	 1D4                          
                    	MUX_SDA<1> - @muctpi_lib.IPMC(i5_page4)                     	 97D4<>                       
                    	IPMC_SDA - @muctpi_lib.MSP_FPGA(i44_page1)                  	 29A7<> 29B4                  
IPMC_SDA<2>         	IPMC_SDA<2> - @muctpi_lib.TOP                               	 2D8                          
                    	IPMC_SDA - @muctpi_lib.TRP_FPGA(i31_page5)                  	 54A8<> 54B4                  
                    	MUX_SDA<2> - @muctpi_lib.IPMC(i5_page4)                     	 97D4<>                       
IPM_DCDC_ENA        	IPM_DCDC_ENA - @muctpi_lib.TOP                              	 3A5 3C4                      
                    	ENA_12V - @muctpi_lib.IPMC(i5_page4)                        	 96C4>                        
                    	IPMC_DCDC_ENA - @muctpi_lib.CPLD(i3_page4)                  	 82D4<                        
IPM_MTCK            	IPM_MTCK - @muctpi_lib.TOP                                  	 3A5 3D4                      
                    	MASTER_TCK - @muctpi_lib.IPMC(i5_page4)                     	 96C8>                        
                    	IPMC_JTAG_MASTER_TCK - @muctpi_lib.CPLD(i3_page4)           	 82C4<                        
IPM_MTDI            	IPM_MTDI - @muctpi_lib.TOP                                  	 3A5 3D4                      
                    	MASTER_TDO - @muctpi_lib.IPMC(i5_page4)                     	 96C8>                        
                    	IPMC_JTAG_MASTER_TDI - @muctpi_lib.CPLD(i3_page4)           	 82C4<                        
IPM_MTDO            	IPM_MTDO - @muctpi_lib.TOP                                  	 3A7 3D4                      
                    	MASTER_TDI - @muctpi_lib.IPMC(i5_page4)                     	 96C8<                        
                    	IPMC_JTAG_MASTER_TDO - @muctpi_lib.CPLD(i3_page4)           	 82C4>                        
IPM_MTMS            	IPM_MTMS - @muctpi_lib.TOP                                  	 3A5 3D4                      
                    	MASTER_TMS - @muctpi_lib.IPMC(i5_page4)                     	 96C8>                        
                    	IPMC_JTAG_MASTER_TMS - @muctpi_lib.CPLD(i3_page4)           	 82C4<                        
IPM_PLD<15..0>      	IPM_PLD<15..0> - @muctpi_lib.TOP                            	 3A5 3C1                      
